participant_id,n_events,events_per_s,submovements,trial_duration_ms,trial_duration_s,submovements_per_s,mean_submovement_deviation
b9c7d764-2da0-4564-b4d7-914e99573ad0,2031,25.004616805170823,33,81225.0,81.225,0.40627885503231764,1.599415652047974
ba324c50-e854-441f-b056-1cf50bc158d9,1283,24.446476887313747,28,52482.0,52.482,0.5335162531915705,2.3092698939309275
bad1870e-b99a-4d8e-b4ab-bf544d71d0ec,828,24.720845524571565,22,33494.0,33.494,0.6568340598316116,1.5383148245467246
bc0021f5-8e05-402d-9ce3-a9a63f51f658,1772,24.971463198094728,60,70961.0,70.961,0.8455348712673159,2.286786747482853
c1b520fe-6dfe-4175-8e0e-12f182397fe6,950,24.609486309354196,17,38603.0,38.603,0.44038028132528556,2.9416018581062855
c75ee419-2f3e-4f9a-b92b-d412c0272e70,1194,24.35094732119185,10,49033.0,49.033,0.2039442824220423,1.8954776658942138
ca453e48-2aa7-4fdb-9e93-8837f7729333,1195,24.949370524249954,25,47897.0,47.897,0.521953358247907,1.8497626141077121
d54c2d38-a344-4acc-a58f-98900e4f3d25,371,23.96640826873385,12,15480.0,15.48,0.7751937984496123,1.7850452121097007
da1fc0bd-2274-48c6-935d-bd4303dfc0a7,924,24.7376311844078,21,37352.0,37.352,0.5622188905547227,2.0499824319517788
dab3e35d-a740-4109-9515-556e82ceb612,83,23.60637087599545,3,3516.0,3.516,0.8532423208191127,2.1275933412587777
ded60c6e-ad75-4508-afdf-8caa0efe3410,1210,14.990274904297626,24,80719.0,80.719,0.29732776669681243,2.271829868777809
e0706a41-3231-4374-a546-2d56f686f34c,706,24.732011490226302,21,28546.0,28.546,0.7356547327121138,1.2073547839010952
e2de2353-af57-4348-aa6b-a0e7cfb609d1,1268,24.958664672073063,32,50804.0,50.804,0.6298716636485315,2.296014049001717
e3a761b1-e739-49a7-bd95-cf33e2a3813c,406,24.877450980392158,11,16320.0,16.32,0.6740196078431372,1.417565178470141
e4410d18-7cd2-4198-9c4a-67901559288f,694,24.708060381657646,22,28088.0,28.088,0.7832526345770435,1.7050851831931773
e4bdced0-2d54-4933-84d0-f3f80c285a06,503,24.637539184952978,12,20416.0,20.416,0.5877742946708464,3.0109296056257
e61b4eb5-dbda-48c1-b18a-899e7395c612,1377,24.939778675311974,24,55213.0,55.213,0.434680238349664,1.3302605415501965
e8d06654-451d-4d8f-b3f7-dd47d9317828,804,24.38062892318889,29,32977.0,32.977,0.8794007944931317,1.5177477341332355
ea3dc494-f4e6-48c2-813c-6de68d7a45e8,1220,24.997950987623963,23,48804.0,48.804,0.4712728464879928,1.4871250361819528
eb870660-81e6-42e1-be24-2ca77d82d4ce,636,24.452133794694348,9,26010.0,26.01,0.3460207612456747,1.1647111059198734
ec43a56a-d5a9-42a4-98fa-46840df7e093,433,20.306711063171225,12,21323.0,21.323,0.5627725929747222,1.2103168482843867
ed69ac01-e271-4d3c-bf27-f6d78d635fe4,576,17.74983821762041,2,32451.0,32.451,0.061631382700070875,1.0
ed793ccf-cf9c-4b54-9951-a243e876cc49,2589,24.944840011947317,6,103789.0,103.789,0.05780959446569482,2.607336834063793
ef7225ed-ba06-41be-aefa-296cc50370f6,470,24.15086583423257,10,19461.0,19.461,0.5138482092389909,1.798824743670471
f5a43f10-de46-4cf5-bce3-9df18286d3d4,1077,21.676998631350134,48,49684.0,49.684,0.96610578858385,3.0235604957719597
f5b5e557-ecf7-4d49-a4b3-1c2cde77ea6f,2046,24.994197339327382,30,81859.0,81.859,0.36648383195494694,2.18760036342978
f709f384-1ebc-4302-978c-d19289570ee9,1266,24.43921084128026,16,51802.0,51.802,0.3088683834600981,1.2905246595214948
f8350255-0cb7-49ec-a1ed-f6d608da537a,1566,20.87248590507417,53,75027.0,75.027,0.7064123582177083,1.6312398867810385
f848edac-87b3-458d-8ccc-7759502a11c9,784,24.743569512387566,17,31685.0,31.685,0.53653148177371,1.8102456508498759
f97814c0-fdd1-4911-ae4f-aa1459d6fa5b,1020,24.420609078720553,23,41768.0,41.768,0.5506607929515418,1.7590634760156134
fc278ad6-5094-4033-8af8-1a9f63a49278,485,24.676910552559274,12,19654.0,19.654,0.6105627353210542,1.1458878517667013
fe672941-07cb-4dcc-9668-f50d2d067848,1624,24.946236559139788,25,65100.0,65.1,0.3840245775729647,2.0095464597756574
