participant_id,total_hovertime_ms,n_hovers,mean_hovertime_ms,median_hovertime_ms,sd_hovertime_ms,total_hovertime_s,mean_hovertime_s,median_hovertime_s,sd_hovertime_s
d54c2d38-a344-4acc-a58f-98900e4f3d25,11131,15,742.0666666666667,314.0,745.6866889620856,11.131,0.7420666666666668,0.314,0.7456866889620856
da1fc0bd-2274-48c6-935d-bd4303dfc0a7,35081,12,2923.4166666666665,2381.5,2492.9598129107253,35.081,2.9234166666666663,2.3815,2.4929598129107253
ded60c6e-ad75-4508-afdf-8caa0efe3410,21985,26,845.5769230769231,157.5,1343.531173380861,21.985,0.8455769230769231,0.1575,1.343531173380861
e0706a41-3231-4374-a546-2d56f686f34c,21417,16,1338.5625,834.0,1751.8936409401874,21.417,1.3385625,0.834,1.7518936409401875
e2de2353-af57-4348-aa6b-a0e7cfb609d1,38680,19,2035.7894736842106,1327.0,2245.3178586894346,38.68,2.035789473684211,1.327,2.2453178586894347
e3a761b1-e739-49a7-bd95-cf33e2a3813c,4229,10,422.9,392.5,164.60893049892525,4.229,0.4229,0.3925,0.16460893049892525
e4410d18-7cd2-4198-9c4a-67901559288f,26957,14,1925.5,1307.0,1743.101733647854,26.957,1.9255,1.307,1.743101733647854
e4bdced0-2d54-4933-84d0-f3f80c285a06,18546,14,1324.7142857142858,923.5,1867.2456238481911,18.546,1.3247142857142857,0.9235,1.8672456238481911
e8d06654-451d-4d8f-b3f7-dd47d9317828,17289,40,432.225,180.5,518.9322117431287,17.289,0.432225,0.1805,0.5189322117431288
ea3dc494-f4e6-48c2-813c-6de68d7a45e8,45116,16,2819.75,902.0,3778.858795985899,45.116,2.81975,0.902,3.778858795985899
eb870660-81e6-42e1-be24-2ca77d82d4ce,3638,2,1819.0,1819.0,1581.0907627331203,3.638,1.819,1.819,1.5810907627331203
ec43a56a-d5a9-42a4-98fa-46840df7e093,17493,9,1943.6666666666667,2443.0,1164.1951082185494,17.493,1.9436666666666667,2.443,1.1641951082185493
ed69ac01-e271-4d3c-bf27-f6d78d635fe4,12672,6,2112.0,1391.5,2196.9046406250773,12.672,2.112,1.3915,2.1969046406250774
ed793ccf-cf9c-4b54-9951-a243e876cc49,100149,20,5007.45,3310.5,5152.174139699615,100.149,5.0074499999999995,3.3105,5.152174139699615
f5a43f10-de46-4cf5-bce3-9df18286d3d4,41699,54,772.2037037037037,424.5,1929.5712338240112,41.699,0.7722037037037037,0.4245,1.9295712338240112
f5b5e557-ecf7-4d49-a4b3-1c2cde77ea6f,67200,16,4200.0,1572.5,5781.810765956747,67.2,4.2,1.5725,5.781810765956747
f709f384-1ebc-4302-978c-d19289570ee9,49456,14,3532.5714285714284,2093.0,4859.142797374319,49.456,3.5325714285714285,2.093,4.85914279737432
f8350255-0cb7-49ec-a1ed-f6d608da537a,71190,63,1130.0,733.0,1433.2892466338149,71.19,1.13,0.733,1.433289246633815
f848edac-87b3-458d-8ccc-7759502a11c9,24937,11,2267.0,999.0,4088.262124668623,24.937,2.267,0.999,4.088262124668623
f97814c0-fdd1-4911-ae4f-aa1459d6fa5b,23303,18,1294.611111111111,675.0,1804.229251733398,23.303,1.2946111111111112,0.675,1.804229251733398
fe672941-07cb-4dcc-9668-f50d2d067848,62226,22,2828.4545454545455,1333.0,4717.149338190162,62.226,2.8284545454545453,1.333,4.717149338190162
