participant_id,mean_acc_norm_s2,std_acc_norm_s2,max_acc_norm_s2,min_acc_norm_s2,n_acc_steps
702af4cc-906d-40b9-aa8d-8e99be992bde,0.0509154153998244,101.88038041443242,2345.4207790420223,-2086.7735102425463,1227
708db045-62f6-4722-b354-0cd16fac4d4a,0.2189088590443063,100.38480239711535,1556.1271044038856,-1288.4717444557143,815
72068e71-91db-442d-8bcd-be58091a7210,0.01909921365348134,86.97243196140991,1330.1991741320353,-1353.9664874511807,537
733a2e49-2496-4e7a-8429-aa233d6038e0,-0.008382273801309384,78.11309208905678,684.3580199776512,-684.3580199776512,582
76df77f4-c446-4c7b-a4ea-93a0a4804064,0.3540196054221404,67.57510922326294,1215.0637041890332,-1012.4930390191032,791
7d4a763e-d896-4860-93a1-bad23bde6d35,0.07769629678876792,144.49407764330246,2392.833769633508,-2938.9617973567206,1620
7e12c6e6-3302-459e-8b4e-6dc42fbc6bea,0.3253639497517385,26.914616553991493,169.55706599776613,-311.3276117153342,450
81fe54b8-48d6-4929-970f-a999e75bb7f1,-0.37394566082490177,166.88792651967785,2031.2798645879702,-2245.098797702494,720
82b8fe9e-d03d-4a52-9b6c-867b927e02e1,0.05645558178908551,66.60986366483061,1155.9247035097835,-1057.9701408324388,2310
8aef2386-7368-499e-a2c5-f4b5da726020,0.14698000501888914,97.27961683002434,1202.367590596488,-922.5685709208377,586
8e0c9b01-b81c-43c8-bb2f-35742dc5b516,-0.15330431030364813,73.18843239538894,1295.9185093314509,-1263.6328194282855,2076
97f16cb2-4702-4c1b-9ff8-ec0646a97f40,0.19722806794495013,86.81053608682895,1851.5121924813857,-1579.1596862841018,1251
98102009-4760-4c36-822a-0e48ece5d5fb,0.2943970657697751,103.24798978806952,2690.8714365720925,-2152.697149257674,1300
9aeb0915-3140-4f9c-bc4b-6c5e899eb9da,0.3044811364207594,89.9826582098563,1536.7445527989992,-1130.5401243705473,2249
9daba0c2-5e80-465c-bbbd-f824d9c24657,0.5421531869377673,87.94074651686569,1284.4430595708536,-1256.5642614507585,938
a283fcdf-6ba2-4329-8b8a-9bf558c8231a,0.43113314891799176,88.24476690006215,1052.016647004319,-1135.4907906840933,975
a39dd60a-d5b3-4715-b83c-30600cad5cf3,0.0554216861189674,25.163719291378133,217.36232138665733,-247.31427844818919,868
a3b479f6-0430-44be-a23b-b1e580e826e0,-0.6753389883424911,114.96796193826238,843.3272225638639,-697.3905038416416,211
a586e2c1-54e8-45ba-963f-6cd8077f1e79,-0.10901519562197216,101.39335598315061,1780.226797646679,-1322.501371394575,921
a784408d-72a4-47b5-9e2f-6dac761f9ffd,0.35414274925936184,81.19115995098186,1294.5579821738188,-954.407177288463,1021
a8557488-eb49-4d5f-ae1c-b72363c44416,-0.0036864572147421453,19.66970963233856,1208.1731403870021,-1070.6912301120383,16430
a941ce89-6cf0-4690-830f-cd35b97730fc,0.13416827967785605,145.3473180251597,1979.257749241139,-1914.364052544708,682
aa394ce7-db73-4ab9-9735-eece7d619911,0.13796398529925802,95.29303561031645,1340.4129594195465,-1235.2960981364608,1072
ab15ea54-ae59-4532-b89c-ff821a0116c0,-1.0350175231775116,73.83141186315501,558.7606922811159,-461.76897689085047,317
aee0f8a7-c99c-42ae-94c4-d8ec1569987d,-0.010563085711950146,78.51671966050655,1220.2453714803478,-963.076468897311,1628
b73a72b8-9607-4085-9706-7f0f9b926843,0.011966286706099784,87.83907156912323,744.2010619652417,-627.2047876266524,1145
b9c7d764-2da0-4564-b4d7-914e99573ad0,0.8921983113247268,77.27533424554352,1402.9752721659472,-1100.5280107193462,2029
bad1870e-b99a-4d8e-b4ab-bf544d71d0ec,1.1009520792782226,153.40212878429938,1873.9230083118655,-2038.9573242888384,826
bc0021f5-8e05-402d-9ce3-a9a63f51f658,1.0552055197473038,98.35799564357022,2285.2144212451317,-1734.724563232179,1770
c1b520fe-6dfe-4175-8e0e-12f182397fe6,-0.004210131207610783,80.52215707148967,1340.9854505542833,-1273.397101571804,948
ca453e48-2aa7-4fdb-9e93-8837f7729333,-0.14608694823494414,77.53701523283809,1597.3405960412142,-1560.6753289192593,1193
