"id","session_id","participant_id","task","prod_id","reason","t_enter_ms","t_leave_ms","duration_ms","ts_enter_utc","ts_leave_utc","page_w","page_h"
53,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",57748,60060,2312,2025-11-29 11:46:57.184,2025-11-29 11:46:59.496,1280,715
54,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",60075,61862,1787,2025-11-29 11:46:59.511,2025-11-29 11:47:01.298,1280,715
55,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",61867,61946,79,2025-11-29 11:47:01.302,2025-11-29 11:47:01.382,1280,715
56,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_patagonia_black_hole_micro_22l","leave",61960,63660,1700,2025-11-29 11:47:01.395,2025-11-29 11:47:03.096,1280,715
57,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_aevor_trip_pack","leave",63664,64763,1099,2025-11-29 11:47:03.1,2025-11-29 11:47:04.199,1280,715
58,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_pinqponq_purik_cliff","leave",64778,69947,5169,2025-11-29 11:47:04.213,2025-11-29 11:47:09.383,1280,715
59,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",69979,70447,468,2025-11-29 11:47:09.414,2025-11-29 11:47:09.882,1280,715
60,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",70464,71228,764,2025-11-29 11:47:09.899,2025-11-29 11:47:10.664,1280,715
61,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",71248,74346,3098,2025-11-29 11:47:10.684,2025-11-29 11:47:13.782,1280,715
62,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_patagonia_black_hole_micro_22l","leave",74363,82969,8606,2025-11-29 11:47:13.799,2025-11-29 11:47:22.405,1280,715
63,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_aevor_trip_pack","leave",82975,87406,4431,2025-11-29 11:47:22.41,2025-11-29 11:47:26.842,1280,715
